url,Datetime,Tweet Id,Text,Retweet Count,Reply Count,Like Count,Username,Display Name,Followers Count,Friends Count,Rendered Content,Day,Month,Year
https://twitter.com/g1gary/status/1493374124269481986,2022-02-14 23:58:31+00:00,1493374124269481986,Turbo Tax may be his best option…  https://t.co/arvpQQvDpO,2,5,16,g1gary,g1gary,60046,55921,Turbo Tax may be his best option…  nbcnews.com/politics/donal…,14,2,2022
https://twitter.com/LogicIntegrity/status/1493372485827543040,2022-02-14 23:52:00+00:00,1493372485827543040,"Donald Trump: ""Hello, TurboTax? Your commercial is great, really great. Can you do my taxes, like this week?""",2,0,5,LogicIntegrity,Truth Integrity Logic Trump's Walls Closing in,1186,1838,"Donald Trump: ""Hello, TurboTax? Your commercial is great, really great. Can you do my taxes, like this week?""",14,2,2022
https://twitter.com/JonLNelson1/status/1493371861866061824,2022-02-14 23:49:32+00:00,1493371861866061824,@gtconway3d A secondary but significant issue is what firm will they hire. The clock is ticking on 2021 returns and who would touch that company? I’m thinking TurboTax or Quicken.,1,0,8,JonLNelson1,Jon L. Nelson,325,40,@gtconway3d A secondary but significant issue is what firm will they hire. The clock is ticking on 2021 returns and who would touch that company? I’m thinking TurboTax or Quicken.,14,2,2022
https://twitter.com/prettycritical/status/1493368617550950401,2022-02-14 23:36:38+00:00,1493368617550950401,"taxes are honestly not that hard. if turbo tax is going to charge you, i recommend just doing the fillable forms. they even have a button that does the math for you",1,1,15,prettycritical,#3 sisterwife but #1 in his heart,7033,1186,"taxes are honestly not that hard. if turbo tax is going to charge you, i recommend just doing the fillable forms. they even have a button that does the math for you",14,2,2022
https://twitter.com/CortezRuenda/status/1493366336218488832,2022-02-14 23:27:34+00:00,1493366336218488832,"@727_555_1212 @gtconway3d H &amp; R Block just snubbed him.  He’s down to doing them himself, online with Turbo Tax.",3,22,344,CortezRuenda,Ruenda Cortez 🕊,298,1035,"@727_555_1212 @gtconway3d H &amp; R Block just snubbed him.  He’s down to doing them himself, online with Turbo Tax.",14,2,2022
https://twitter.com/rezich/status/1493366302655741954,2022-02-14 23:27:26+00:00,1493366302655741954,"@godivademaus @turbotax which one did you use, the ones on the IRS website are probably all legit but their URLs make em look like scams lol",1,2,6,rezich,Adam Rezich,480,834,"@godivademaus @turbotax which one did you use, the ones on the IRS website are probably all legit but their URLs make em look like scams lol",14,2,2022
https://twitter.com/JeffMacIsHere/status/1493364240966565894,2022-02-14 23:19:15+00:00,1493364240966565894,DOES TURBOTAX DO CRIME TAXES?  -frantic google search somewhere in florida…,3,0,16,JeffMacIsHere,Jeff Mac,17257,10501,"DOES TURBOTAX DO CRIME TAXES?

-frantic google search somewhere in florida…",14,2,2022
https://twitter.com/KasieShotts/status/1493360221430980608,2022-02-14 23:03:16+00:00,1493360221430980608,"Made less than $30k this year, just started filing my taxes and I’m almost finished. I’ll get $79 back, but have to owe TurboTax $73, is this a fucking joke? 😂😂😂",1,2,4,KasieShotts,💥Witchy Cosplay💥🔜 Momocon,1071,582,"Made less than $30k this year, just started filing my taxes and I’m almost finished. I’ll get $79 back, but have to owe TurboTax $73, is this a fucking joke? 😂😂😂",14,2,2022
https://twitter.com/CLC1905/status/1493359593673699328,2022-02-14 23:00:47+00:00,1493359593673699328,"@MargaretSchoenf @Martinations60 @MuellerSheWrote I don't really know what his options are, but I'm feasting on schadenfreude with the idea of tfg trying to figure out TurboTax in a panic when he doesn't even know how to use a computer. https://t.co/aHBELtwF6Z",1,1,12,CLC1905,CL says: #ProtectTransKids,4306,4993,"@MargaretSchoenf @Martinations60 @MuellerSheWrote I don't really know what his options are, but I'm feasting on schadenfreude with the idea of tfg trying to figure out TurboTax in a panic when he doesn't even know how to use a computer. https://t.co/aHBELtwF6Z",14,2,2022
https://twitter.com/BarryLeachSF/status/1493356261366276097,2022-02-14 22:47:32+00:00,1493356261366276097,@ProjectLincoln How much for the TurboTax International Money Launderer Version?,1,0,11,BarryLeachSF,Sláinte 😎,138,415,@ProjectLincoln How much for the TurboTax International Money Launderer Version?,14,2,2022
https://twitter.com/JohnLukeSam1/status/1493354381634248705,2022-02-14 22:40:04+00:00,1493354381634248705,"@lindyli If Mazars couldn't even discern that lifelong lying Trump was lying to them for 10 years, then all their clients should switch to TurboTax.",5,2,18,JohnLukeSam1,Trump lost by a lot!,16428,15916,"@lindyli If Mazars couldn't even discern that lifelong lying Trump was lying to them for 10 years, then all their clients should switch to TurboTax.",14,2,2022
https://twitter.com/CoinDesk/status/1493353956206067712,2022-02-14 22:38:22+00:00,1493353956206067712,"Oversight of stablecoin holdings, consistent spot and futures framework and clarifying tokens registration formats. @SBF_FTX says these three things can put the U.S. on the right path toward better regulation.  More on ""The Hash"", sponsored by @TurboTax: https://t.co/Bj7NQsENMm https://t.co/WQvlkUffDZ",23,22,68,CoinDesk,CoinDesk,2824615,1483,"Oversight of stablecoin holdings, consistent spot and futures framework and clarifying tokens registration formats. @SBF_FTX says these three things can put the U.S. on the right path toward better regulation.

More on ""The Hash"", sponsored by @TurboTax:
coindesk.com/video/recent-v… https://t.co/WQvlkUffDZ",14,2,2022
