url,Datetime,Tweet Id,Text,Retweet Count,Reply Count,Like Count,Username,Display Name,Followers Count,Friends Count,Rendered Content,Day,Month,Year
https://twitter.com/ohheyyoooitskim/status/1493374475726901249,2022-02-14 23:59:55+00:00,1493374475726901249,@uber @Uber_Support @UberEats my retired mother keeps on getting hacked in her Uber account and your support has been very unresponsive. What does it take to get help?,1,3,0,ohheyyoooitskim,KimC,51,446,@uber @Uber_Support @UberEats my retired mother keeps on getting hacked in her Uber account and your support has been very unresponsive. What does it take to get help?,14,2,2022
https://twitter.com/JCutrell/status/1493374028681199624,2022-02-14 23:58:08+00:00,1493374028681199624,"Twice in one week @UberEats drivers have tried to steal our meal. First time they succeeded. Second time when we dropped their tip to $0 they delivered the meal, only… some of it was missing.  If you’re willing to steal my food, i assume you’re willing to spit in it too.",1,2,1,JCutrell,🖖 Jonathan 🎙,6862,58,"Twice in one week @UberEats drivers have tried to steal our meal. First time they succeeded. Second time when we dropped their tip to $0 they delivered the meal, only… some of it was missing.

If you’re willing to steal my food, i assume you’re willing to spit in it too.",14,2,2022
https://twitter.com/Disco_MongVet/status/1493373436474839048,2022-02-14 23:55:47+00:00,1493373436474839048,"Hey, American Frens. When’s the superball? I hear there is a bullish announcement from UberEats or sumting? It’ll be in the 15th innings and 12 downs, I’m told.  Reliable source #ADA",1,0,1,Disco_MongVet,Disco Ⓥet Mong 🕊,328,619,"Hey, American Frens. When’s the superball? I hear there is a bullish announcement from UberEats or sumting?
It’ll be in the 15th innings and 12 downs, I’m told. 
Reliable source
#ADA",14,2,2022
https://twitter.com/Robertoleah/status/1493369278090944513,2022-02-14 23:39:16+00:00,1493369278090944513,@UberEats for real? I pay for an undelivered order? Is 7 minutes an unwritten rule. What a waste of food and my money. To make things worse I’m ordering because I can’t physically cook https://t.co/XW4hgHzhBZ,1,1,0,Robertoleah,Robert Leah,6,10,@UberEats for real? I pay for an undelivered order? Is 7 minutes an unwritten rule. What a waste of food and my money. To make things worse I’m ordering because I can’t physically cook https://t.co/XW4hgHzhBZ,14,2,2022
https://twitter.com/_abdabs/status/1493367479879544838,2022-02-14 23:32:07+00:00,1493367479879544838,@sjaffss why am I paying for ubereats pass when the fees gonna be 9 bucks anyways???,2,0,1,_abdabs,K-Waj,141,169,@sjaffss why am I paying for ubereats pass when the fees gonna be 9 bucks anyways???,14,2,2022
https://twitter.com/cenajoe2/status/1493367046108819462,2022-02-14 23:30:23+00:00,1493367046108819462,@aa9skillz Skills looking for Messi’s goals in Uber eats,1,1,6,cenajoe2,KB9SZN,10,5,@aa9skillz Skills looking for Messi’s goals in Uber eats,14,2,2022
https://twitter.com/Alskimbo/status/1493363126342934530,2022-02-14 23:14:49+00:00,1493363126342934530,"The driver got lost&amp; didnt bring my food, I spoke with him on the phone &amp; gave him directions. He lied &amp; said I was uncontactable. Even with proof @ubereats_uk @UberUKsupport have done nothing #BLM #rt #UberDontEats #UberEats #ripoff #thieves #london #SCANDAL #refund #facts #liar https://t.co/QSrMWji9kt",2,1,1,Alskimbo,Allie Bear,259,217,"The driver got lost&amp; didnt bring my food, I spoke with him on the phone &amp; gave him directions. He lied &amp; said I was uncontactable. Even with proof @ubereats_uk @UberUKsupport have done nothing #BLM #rt #UberDontEats #UberEats #ripoff #thieves #london #SCANDAL #refund #facts #liar https://t.co/QSrMWji9kt",14,2,2022
https://twitter.com/offical_hodawg/status/1493362072905785345,2022-02-14 23:10:38+00:00,1493362072905785345,The Uber Eats driver looking down the barrel of my shotgun after I've been off my medication for two weeks: https://t.co/UvvdNXrzgR,1,0,7,offical_hodawg,Ho-Dawg,130,564,The Uber Eats driver looking down the barrel of my shotgun after I've been off my medication for two weeks: https://t.co/UvvdNXrzgR,14,2,2022
https://twitter.com/Alskimbo/status/1493360343342587909,2022-02-14 23:03:45+00:00,1493360343342587909,Dont ever buy from @ubereats_uk they’ll take your money but you wont get your food. Then you contact  @UberUKsupport for help and they’ll just get a bunch of robots to send you the same messages over &amp; over again 🤬 #UberDontEats #scammers #Panorama #ScamAlert #rt #uber #london,2,1,2,Alskimbo,Allie Bear,259,217,Dont ever buy from @ubereats_uk they’ll take your money but you wont get your food. Then you contact  @UberUKsupport for help and they’ll just get a bunch of robots to send you the same messages over &amp; over again 🤬 #UberDontEats #scammers #Panorama #ScamAlert #rt #uber #london,14,2,2022
https://twitter.com/LFCFrancis/status/1493359821646614535,2022-02-14 23:01:41+00:00,1493359821646614535,@viral_x4 Uber eats Hasbulla sounds better,1,1,10,LFCFrancis,Francis,2337,1709,@viral_x4 Uber eats Hasbulla sounds better,14,2,2022
https://twitter.com/ScottMGreer/status/1493358798198788099,2022-02-14 22:57:37+00:00,1493358798198788099,"Is the future of the Right a ""multiracial working class"" advocating for the breakup of UberEats?  Find out on the latest Highly Respected! https://t.co/GLR2ch5Kl7",3,4,63,ScottMGreer,Scott Greer 6’2” IQ 187,114619,726,"Is the future of the Right a ""multiracial working class"" advocating for the breakup of UberEats?

Find out on the latest Highly Respected! youtube.com/watch?v=yA46GB…",14,2,2022
https://twitter.com/_eddiction_/status/1493354406460411907,2022-02-14 22:40:10+00:00,1493354406460411907,Still no phone @Uber_Support @Uber @UberEats,1,1,0,_eddiction_,Chocolate Bunny,785,304,Still no phone @Uber_Support @Uber @UberEats,14,2,2022
https://twitter.com/IowaCapDispatch/status/1493354087068409857,2022-02-14 22:38:54+00:00,1493354087068409857,"Food delivery apps like Grubhub, DoorDash and Uber Eats would have to enter into a formal agreement with restaurants from which they deliver under legislation being considered in the Iowa House. #ialegis https://t.co/QAIfPBUUik via @IowaCapDispatch",2,0,2,IowaCapDispatch,Iowa Capital Dispatch,6339,324,"Food delivery apps like Grubhub, DoorDash and Uber Eats would have to enter into a formal agreement with restaurants from which they deliver under legislation being considered in the Iowa House. #ialegis iowacapitaldispatch.com/briefs/bill-wo… via @IowaCapDispatch",14,2,2022
https://twitter.com/AlexaMBooks/status/1493353221678583814,2022-02-14 22:35:27+00:00,1493353221678583814,"The hubs and I ordered Uber Eats, watched tv, and then took a nap while the kids were at school. Honestly? Best Valentine’s Day ever. 19 years together and we finally nailed it! https://t.co/xoTeHo8dVx",1,1,36,AlexaMBooks,Alexa Martin,4416,632,"The hubs and I ordered Uber Eats, watched tv, and then took a nap while the kids were at school. Honestly? Best Valentine’s Day ever. 19 years together and we finally nailed it! https://t.co/xoTeHo8dVx",14,2,2022
https://twitter.com/IanKipngetich8/status/1493351101860618244,2022-02-14 22:27:02+00:00,1493351101860618244,Uber are turning out to be thieves. They deduct money from your bank account without you even requesting a cab. Their customer care is also very shitty @Uber @UberEats @Uber_Support,1,1,0,IanKipngetich8,Ian Kipngetich,371,576,Uber are turning out to be thieves. They deduct money from your bank account without you even requesting a cab. Their customer care is also very shitty @Uber @UberEats @Uber_Support,14,2,2022
https://twitter.com/miamicheap/status/1493350482877767687,2022-02-14 22:24:34+00:00,1493350482877767687,Today only: Starbucks &amp; Uber Eats offer Valentine’s Day deal. Details here! https://t.co/AxADl2VbUX,1,0,1,miamicheap,Miami on the Cheap,18000,12352,Today only: Starbucks &amp; Uber Eats offer Valentine’s Day deal. Details here! miamionthecheap.com/starbucks-offe…,14,2,2022
https://twitter.com/NitaBonitax/status/1493349285521416193,2022-02-14 22:19:49+00:00,1493349285521416193,One thing an Uber eats driver gonna do is lie about being on a bike.,1,1,4,NitaBonitax,Maxey’s Floaters 💜,4067,1770,One thing an Uber eats driver gonna do is lie about being on a bike.,14,2,2022
